date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
10/18/2011,0.333333333,0,1,1,1:23:00
10/18/2011,0,0,0,0,1:18:00
10/18/2011,0.6,0,2,3,1:18:00
10/18/2011,1.5,0,1,3,1:18:00
10/18/2011,0.5,0,2,3,1:13:00
10/18/2011,0.5,0,1,2,1:13:00
10/18/2011,1.4,0,3,7,1:13:00
10/18/2011,0.5,0,2,2,1:12:00
10/18/2011,0.333333333,0,1,1,1:12:00
10/18/2011,0,0,0,0,1:12:00
10/18/2011,0,0,0,0,1:11:00
10/18/2011,1,0,1,1,1:11:00
10/18/2011,0.214285714,0,1,3,1:10:00
10/18/2011,1,0,1,1,1:09:00
10/18/2011,0,0,0,0,1:08:00
10/18/2011,1.4,0,3,7,1:07:00
10/18/2011,0,0,0,0,1:07:00
10/18/2011,0.153846154,0,1,2,1:06:00
10/18/2011,0,0,0,0,1:05:00
10/18/2011,3,0,1,3,1:05:00
10/18/2011,0,0,0,0,1:05:00
10/18/2011,0.173913043,0,2,4,1:04:00
10/18/2011,1,0,1,2,1:04:00
10/18/2011,0.058823529,0,1,2,1:02:00
10/18/2011,0.142857143,0,1,1,1:01:00
10/18/2011,0,1,1,0,1:01:00
10/18/2011,0,0,0,0,1:01:00
10/18/2011,0,0,0,0,1:01:00
5/27/2011,2,0,1,2,2:44:00
5/27/2011,0,0,0,0,2:44:00
5/27/2011,0,0,0,0,2:44:00
5/27/2011,0,0,0,0,2:44:00
5/27/2011,0,0,0,0,2:44:00
5/27/2011,0,0,0,0,2:44:00
5/27/2011,1.5,0,1,3,2:44:00
5/27/2011,2.5,0,2,5,2:44:00
5/27/2011,0,0,0,0,2:39:00
5/27/2011,0,0,0,0,2:39:00
5/27/2011,0,0,0,0,2:39:00
5/27/2011,0,0,0,0,2:28:00
5/27/2011,0,0,0,0,2:28:00
5/27/2011,0,0,0,0,2:27:00
5/27/2011,0,0,0,0,2:27:00
5/27/2011,2,0,2,4,2:27:00
5/27/2011,2,0,1,2,2:26:00
5/27/2011,2,0,1,2,2:25:00
5/27/2011,0,0,0,0,2:25:00
5/27/2011,0,0,0,0,2:25:00
5/27/2011,0.210526316,0,1,4,2:25:00
5/27/2011,0,0,0,0,2:25:00
5/27/2011,0,0,0,0,2:24:00
5/27/2011,0,0,0,0,2:23:00
5/27/2011,0,0,0,0,2:23:00
5/27/2011,0,0,0,0,2:23:00
5/27/2011,0,0,0,0,2:23:00
5/27/2011,0.375,0,1,3,2:21:00
5/27/2011,0,0,0,0,2:21:00
5/27/2011,0,0,0,0,2:21:00
5/27/2011,0,0,0,0,2:21:00
5/27/2011,0,0,0,0,2:20:00
5/27/2011,0.117647059,0,1,2,2:20:00
5/27/2011,3,0,2,6,2:20:00
5/27/2011,0,0,0,0,2:13:00
5/27/2011,0,0,0,0,2:13:00
5/27/2011,-0.25,1,1,-2,2:13:00
5/27/2011,0,0,0,0,2:07:00
5/27/2011,0.454545455,0,2,5,2:07:00
5/27/2011,0,0,0,0,2:07:00
5/27/2011,0.285714286,0,1,2,2:07:00
5/27/2011,0.666666667,0,2,2,2:07:00
5/27/2011,0.75,0,1,3,2:02:00
5/27/2011,0.4375,0,2,7,2:02:00
5/27/2011,0.666666667,0,3,4,1:57:00
5/27/2011,-0.033333333,1,0,-1,1:56:00
5/27/2011,0.529411765,0,3,9,1:56:00
5/27/2011,2,0,2,6,1:55:00
5/27/2011,0,0,0,0,1:55:00
5/27/2011,0,0,0,0,1:55:00
5/27/2011,0.4,0,5,10,1:52:00
5/27/2011,0.193548387,0,2,6,1:52:00
5/27/2011,0.1,0,1,1,1:51:00
5/27/2011,1,0,1,2,1:50:00
5/27/2011,0.75,0,1,3,1:50:00
5/27/2011,0,0,0,0,1:50:00
5/27/2011,2,0,1,2,1:50:00
5/27/2011,1,0,1,1,1:49:00
5/27/2011,0,0,0,0,1:48:00
5/27/2011,0.333333333,0,1,1,1:48:00
5/27/2011,0,0,0,0,1:47:00
5/27/2011,0,0,0,0,1:47:00
5/27/2011,-1,1,0,-3,1:47:00
5/27/2011,-2,1,0,-4,1:47:00
5/27/2011,1.2,0,2,6,1:46:00
5/27/2011,-0.285714286,1,0,-2,1:46:00
5/27/2011,0,0,0,0,1:46:00
5/27/2011,0.142857143,0,2,2,1:45:00
5/27/2011,0.222222222,0,1,2,1:45:00
5/27/2011,0.222222222,0,1,2,1:44:00
5/27/2011,0,0,0,0,1:44:00
5/27/2011,0.333333333,0,1,3,1:44:00
5/27/2011,0.2,0,1,1,1:42:00
5/27/2011,0,0,0,0,1:42:00
5/27/2011,0.75,0,1,3,1:41:00
5/27/2011,1.5,0,1,3,1:39:00
5/27/2011,0,0,0,0,1:38:00
