date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
11/3/2011,0.285714286,0,1,2,11:27:00
11/3/2011,0,0,0,0,11:26:00
11/3/2011,0.333333333,0,1,2,11:26:00
11/3/2011,0.6,0,1,3,11:26:00
11/3/2011,0,0,0,0,11:25:00
11/3/2011,0.5,0,1,3,11:23:00
11/3/2011,0,0,0,0,11:22:00
11/3/2011,0,0,0,0,11:19:00
11/3/2011,0,0,0,0,11:19:00
11/3/2011,0,0,0,0,11:16:00
11/3/2011,-0.166666667,1,0,-2,11:15:00
11/3/2011,0,0,0,0,11:15:00
11/3/2011,0,0,0,0,11:15:00
11/3/2011,0.428571429,0,1,3,11:14:00
11/3/2011,0.333333333,0,1,1,11:14:00
11/3/2011,0,0,0,0,11:14:00
11/3/2011,1,0,1,1,11:14:00
11/3/2011,0,0,0,0,11:13:00
10/29/2011,0.214285714,0,1,3,9:27:00
10/27/2011,0.076433121,5,14,12,11:54:00
10/27/2011,0.03960396,0,2,4,8:43:00
6/15/2011,0.2,0,3,7,6:19:00
7/7/2015,-0.052631579,2,1,-1,10:58:00
8/10/2015,0.071428571,0,1,1,11:27:00
8/10/2015,0.055555556,0,1,1,11:26:00
8/26/2014,3,0,1,3,3:04:00
8/26/2014,0,0,0,0,3:04:00
1/9/2014,0.416666667,0,2,5,4:06:00
10/16/2011,0,0,0,0,12:50:00
10/16/2011,0.111111111,0,1,1,12:26:00
10/15/2011,0.266666667,2,3,4,12:23:00
10/10/2011,0.272727273,0,2,3,11:50:00
10/10/2011,0.454545455,0,2,5,11:50:00
10/10/2011,0,0,0,0,11:50:00
10/10/2011,0,0,0,0,11:45:00
10/10/2011,0.666666667,0,1,2,11:45:00
10/10/2011,0,0,0,0,11:45:00
10/10/2011,0.105263158,1,4,4,11:44:00
10/10/2011,-0.4,1,0,-2,11:42:00
10/10/2011,0,0,0,0,11:42:00
10/10/2011,0,0,0,0,11:42:00
10/10/2011,0,0,0,0,11:42:00
10/10/2011,0.666666667,0,1,2,11:41:00
10/10/2011,1,0,1,2,11:33:00
6/28/2014,0,0,0,0,4:49:00
6/28/2014,0,0,0,0,4:49:00
